#separator:comma
#deck column:18
52,おじぎ〈する〉,おじぎ,おじぎ,鞠躬，行礼，点头寒暄,bow,名・動,朝、大家さんに会ったので、おじぎした。,早上见到房东，我点头打了个招呼。,,,[sound:JLPT_TangoN2_Word_0052.mp3],[sound:JLPT_TangoN2_Sentence_0052.mp3],1,3,人と人との関係,知人,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 3 知人
53,近所付き合い,きんじょづきあい,近[きん]所[じょ]付[つ]き合[あ]い,和邻居相处,interaction with neighbors,名,できるだけ近所付き合いを大切にしている。,我尽量和邻居们好好相处。,＋友達付き合い interaction with friends / 和朋友相处,,[sound:JLPT_TangoN2_Word_0053.mp3],[sound:JLPT_TangoN2_Sentence_0053.mp3],1,3,人と人との関係,知人,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 3 知人
54,大家,おおや,大[おお]家[や],房东,landlord,名,私のアパートの大家さんは、とても親切な人だ。,我所住的公寓的房东是一个特别热心的人。,,,[sound:JLPT_TangoN2_Word_0054.mp3],[sound:JLPT_TangoN2_Sentence_0054.mp3],1,3,人と人との関係,知人,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 3 知人
55,飼い主,かいぬし,飼[か]い主[ぬし],饲养主,owner,名,犬の飼い主同士が公園でおしゃべりをしている。,一些养狗的人在公园里聊天。,,,[sound:JLPT_TangoN2_Word_0055.mp3],[sound:JLPT_TangoN2_Sentence_0055.mp3],1,3,人と人との関係,知人,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 3 知人
56,交わす,かわす,交[か]わす,交换，相交,to exchange,動,近所の人達に会うと、笑顔であいさつを交わす。,邻居们见面的时候，会微笑着互相打招呼。,,,[sound:JLPT_TangoN2_Word_0056.mp3],[sound:JLPT_TangoN2_Sentence_0056.mp3],1,3,人と人との関係,知人,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 3 知人
57,呼び止める,よびとめる,呼[よ]び止［と］める,叫停，叫住,to stop,動,アパートの前で管理人さんに呼び止められた。,我在公寓前面被楼管叫住了。,,,[sound:JLPT_TangoN2_Word_0057.mp3],[sound:JLPT_TangoN2_Sentence_0057.mp3],1,3,人と人との関係,知人,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 3 知人
58,振り返る,ふりかえる,振[ふ]り返[かえ]る,回头；回顾，回忆,"to look back, to reflect",動,"①後ろから名前を呼ばれて、振り返った。 
②学生時代を振り返ると、なつかしい。","①后面有人叫我名字，我回了一下头。 
②回顾学生时代，那段时光令人怀念。",,①转过脸或身体朝后看；②回忆过去,[sound:JLPT_TangoN2_Word_0058.mp3],[sound:JLPT_TangoN2_Sentence_0058.mp3],1,3,人と人との関係,知人,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 3 知人
59,再会〈する〉,さいかい,再[さい]会[かい],再相见,reunion,名・動,以前お世話になった人に再会した。,我又见到以前关照过我的人了。,,,[sound:JLPT_TangoN2_Word_0059.mp3],[sound:JLPT_TangoN2_Sentence_0059.mp3],1,3,人と人との関係,知人,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 3 知人
60,覚え,おぼえ,覚[おぼ]え,记忆,recollection,名,田中さんとは会った覚えがない。,我不记得和田中见过面。,＋記憶 memory / 记忆,,[sound:JLPT_TangoN2_Word_0060.mp3],[sound:JLPT_TangoN2_Sentence_0060.mp3],1,3,人と人との関係,知人,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 3 知人
61,心当たり,こころあたり,心[こころ]当[あ]たり,头绪，猜想,"guess, something that comes to mind",名,心当たりのない番号から電話がかかってきた。,一个电话打了进来，号码很陌生。,,,[sound:JLPT_TangoN2_Word_0061.mp3],[sound:JLPT_TangoN2_Sentence_0061.mp3],1,3,人と人との関係,知人,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 3 知人
62,結びつく,むすびつく,結[むす]びつく,关联，结合,"to link, to be put together",動,川田さんの名前と顔が結びつかない。,我无法把川田的名字和脸联系起来。,"＋(～を) 結びつける to link, to put together / 把……联系起来",,[sound:JLPT_TangoN2_Word_0062.mp3],[sound:JLPT_TangoN2_Sentence_0062.mp3],1,3,人と人との関係,知人,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 3 知人
63,とっさ［に］,とっさ,とっさ,猛然间，刹那间,"instant, in a split second",名・副,隣の人に会ったとき、とっさに名前が出てこなかった。（副）,见到旁边的人时，我突然想不起他的名字了。,,,[sound:JLPT_TangoN2_Word_0063.mp3],[sound:JLPT_TangoN2_Sentence_0063.mp3],1,3,人と人との関係,知人,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 3 知人
64,てっきり,てっきり,てっきり,（以为）一定,assume,副,てっきり彼らを兄弟だと思っていた。,我一直以为他们俩是兄弟。,,,[sound:JLPT_TangoN2_Word_0064.mp3],[sound:JLPT_TangoN2_Sentence_0064.mp3],1,3,人と人との関係,知人,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 3 知人
65,思い込む,おもいこむ,思[おも]い込[こ]む,以为,to be under the impression,動,私は木村さんが独身だと思い込んでいた。,我一直以为木村是单身。,＋思い込み assumption / 坚信，固执的想法,,[sound:JLPT_TangoN2_Word_0065.mp3],[sound:JLPT_TangoN2_Sentence_0065.mp3],1,3,人と人との関係,知人,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 3 知人
66,コミュニケーション,コミュニケーション,コミュニケーション,交流，沟通,communication,名,いろいろな国の人とコミュニケーションを持ちたい。,我想和各个国家的人交流。,,,[sound:JLPT_TangoN2_Word_0066.mp3],[sound:JLPT_TangoN2_Sentence_0066.mp3],1,3,人と人との関係,知人,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 3 知人
67,ネットワーク,ネットワーク,ネットワーク,网络,network,名,将来のために、知り合いのネットワークを広げたい。,为了自己的将来，我想拓宽自己的人脉。,,原来指广播网、电视网等,[sound:JLPT_TangoN2_Word_0067.mp3],[sound:JLPT_TangoN2_Sentence_0067.mp3],1,3,人と人との関係,知人,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 3 知人
68,直接,ちょくせつ,直[ちょく]接[せつ],直接,"direct, directly",名・副,彼とは直接の友達ではない。（名）,我和他不是直接的朋友关系。,⇔間接,,[sound:JLPT_TangoN2_Word_0068.mp3],[sound:JLPT_TangoN2_Sentence_0068.mp3],1,3,人と人との関係,知人,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 3 知人
69,接する,せっする,接[せっ]する,交往，打交道；相连，相接,"come in contact with, adjacent",動,"①敬語が下手なので、目上の人と接するのが苦手だ。 
②私のアパートは、隣のビルと接している。","①我敬语说得不好，所以不善于和上级打交道。 
②我住的公寓和隔壁大楼是连在一起的。",,①和人交流；②中间没有间隙，非常靠近，相邻,[sound:JLPT_TangoN2_Word_0069.mp3],[sound:JLPT_TangoN2_Sentence_0069.mp3],1,3,人と人との関係,知人,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 3 知人
